"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 13일","1,010.37","1,001.00","1,010.80","1,001.00","3.66B","0.97%"
"2021년 04월 12일","1,000.65","992.31","1,000.78","990.32","1.91B","1.14%"
"2021년 04월 09일","989.39","983.40","991.17","983.40","1.59B","0.75%"
"2021년 04월 08일","982.02","974.14","982.04","969.53","1.91B","0.90%"
"2021년 04월 07일","973.22","969.30","974.11","968.35","2.04B","0.47%"
"2021년 04월 06일","968.63","971.11","974.14","964.62","2.41B","-0.12%"
"2021년 04월 05일","969.77","971.04","973.57","966.52","1.93B","-0.03%"
"2021년 04월 02일","970.09","967.56","971.17","966.34","2.33B","0.45%"
"2021년 04월 01일","965.78","956.87","965.81","954.93","2.01B","1.01%"
"2021년 03월 31일","956.17","958.38","961.02","954.17","1.85B","-0.20%"
"2021년 03월 30일","958.06","954.54","959.88","954.54","2.03B","0.42%"
"2021년 03월 29일","954.10","956.88","961.73","952.22","2.39B","-0.27%"
"2021년 03월 26일","956.70","955.68","959.46","951.13","2.13B","0.18%"
"2021년 03월 25일","954.99","953.26","955.24","948.34","1.75B","0.12%"
"2021년 03월 24일","953.82","946.23","954.20","939.19","1.73B","0.79%"
"2021년 03월 23일","946.31","956.10","962.65","945.97","2.04B","-0.95%"
"2021년 03월 22일","955.38","953.04","957.52","948.77","1.78B","0.34%"
"2021년 03월 19일","952.11","946.61","953.06","935.27","1.66B","0.24%"
"2021년 03월 18일","949.83","945.11","953.10","945.11","2.06B","0.64%"
"2021년 03월 17일","943.78","941.20","943.78","935.11","2.76B","0.33%"
"2021년 03월 16일","940.65","928.17","941.00","928.17","3.37B","1.48%"
"2021년 03월 15일","926.90","926.04","929.69","921.71","2.34B","0.15%"
"2021년 03월 12일","925.49","910.41","925.90","910.41","2.86B","1.93%"
"2021년 03월 11일","908.01","890.97","908.01","890.97","2.42B","2.02%"
"2021년 03월 10일","890.07","900.19","911.04","890.07","2.88B","-0.70%"
"2021년 03월 09일","896.36","904.04","904.04","877.73","3.51B","-0.93%"
"2021년 03월 08일","904.77","925.19","931.14","904.62","3.32B","-2.03%"
